note_on,time,velocity,instrument,duration
61,106.2090909090909,9,strings,0.09999999999999432
61,106.26136363636363,14,strings,0.04772727272727195
61,106.34772727272727,30,strings,0.013636363636365445
61,106.38863636363637,34,strings,0.05909090909089798
61,106.5590909090909,22,strings,0.10000000000000853
61,106.74090909090908,38,strings,0.09999999999999432
61,106.80454545454545,36,strings,0.03636363636363171
61,106.87045454545454,37,strings,0.03409090909092072
61,106.92272727272727,36,strings,0.04772727272727195
61,106.98636363636363,31,strings,0.03636363636363171
61,107.08181818181818,23,strings,0.004545454545450411
61,107.21136363636363,15,strings,0.10000000000000853
61,107.38181818181818,14,strings,0.09999999999999432
61,107.41363636363636,13,strings,0.06818181818181301
61,107.47727272727272,21,strings,0.004545454545450411
61,107.5090909090909,23,strings,0.004545454545464622
61,107.60454545454544,18,strings,0.004545454545464622
61,107.74318181818181,19,strings,0.10000000000000853
61,107.77499999999999,20,strings,0.06818181818182723
61,107.88181818181818,23,strings,0.09999999999999432
61,107.91363636363636,24,strings,0.06818181818181301
61,107.96818181818182,26,strings,0.013636363636351234
61,108.02045454545454,34,strings,0.04772727272727195
61,108.05227272727272,37,strings,0.01590909090909065
61,108.08636363636363,37,strings,0.03409090909090651
61,108.19090909090909,19,strings,0.09999999999999432
61,108.225,17,strings,0.06590909090908781
61,108.35227272727272,15,strings,0.10000000000000853
61,108.39545454545454,14,strings,0.056818181818186986
61,108.50227272727273,14,strings,0.09999999999999432
61,108.5340909090909,13,strings,0.06818181818181301
61,108.64999999999999,19,strings,0.10000000000000853
61,108.69318181818181,21,strings,0.056818181818186986
61,108.76818181818182,17,strings,0.024999999999991473
61,108.82045454545454,12,strings,0.04772727272727195
61,108.86363636363636,10,strings,0.004545454545450411
61,108.93863636363636,7,strings,0.024999999999991473
61,108.98181818181817,6,strings,0.056818181818186986
61,109.08863636363635,4,strings,0.10000000000000853
61,109.12045454545454,6,strings,0.06818181818182723
61,109.1840909090909,11,strings,0.004545454545464622
61,109.22727272727272,13,strings,0.056818181818186986
61,109.44999999999999,17,strings,0.10000000000000853
61,109.49318181818181,22,strings,0.056818181818186986
61,109.55681818181817,27,strings,0.036363636363645924
61,109.58863636363635,31,strings,0.004545454545464622
61,109.73863636363636,29,strings,0.09999999999999432
61,109.79090909090908,30,strings,0.04772727272727195
61,109.85681818181817,28,strings,0.03409090909092072
61,109.97272727272727,17,strings,0.09999999999999432
61,110.03636363636363,11,strings,0.03636363636363171
61,110.07954545454545,14,strings,0.056818181818172775
61,110.11136363636363,17,strings,0.024999999999991473
61,110.16590909090908,20,strings,0.013636363636365445
61,110.25,26,strings,0.01590909090909065
61,110.31363636363636,25,strings,0.03636363636363171
61,110.34772727272727,23,strings,0.0022727272727252057
61,110.44318181818181,23,strings,0.004545454545450411
61,110.5590909090909,13,strings,0.10000000000000853
61,110.59090909090908,9,strings,0.06818181818182723
61,110.6340909090909,10,strings,0.025000000000005684
61,110.7090909090909,16,strings,0.025000000000005684
61,110.77272727272727,18,strings,0.03636363636363171
61,110.82727272727273,22,strings,0.045454545454532536
61,110.85909090909091,27,strings,0.013636363636351234
61,110.99772727272726,38,strings,0.10000000000000853
61,111.11363636363636,71,strings,0.09999999999999432
61,111.18863636363636,72,strings,0.024999999999991473
61,111.27499999999999,66,strings,0.013636363636365445
61,111.38181818181818,38,strings,0.09999999999999432
61,111.46590909090908,28,strings,0.01590909090909065
61,111.49772727272726,27,strings,0.06818181818182723
61,111.6590909090909,10,strings,0.09999999999999432
61,111.72272727272727,21,strings,0.03636363636363171
61,111.79772727272727,26,strings,0.024999999999991473
61,111.93636363636364,12,strings,0.09999999999999432
61,112.07499999999999,9,strings,0.10000000000000853
61,112.11818181818181,15,strings,0.056818181818186986
61,112.25681818181818,15,strings,0.09999999999999432
61,112.3840909090909,21,strings,0.10000000000000853
61,112.50227272727273,26,strings,0.09999999999999432
61,112.56590909090909,32,strings,0.03636363636363171
61,112.62954545454545,39,strings,0.03636363636363171
61,112.75681818181818,39,strings,0.09999999999999432
61,112.8,36,strings,0.056818181818172775
61,112.91818181818181,23,strings,0.10000000000000853
61,112.94999999999999,17,strings,0.06818181818182723
61,112.98181818181817,13,strings,0.036363636363645924
61,113.02499999999999,14,strings,0.025000000000005684
61,113.05681818181817,15,strings,0.025000000000005684
61,113.21590909090908,12,strings,0.10000000000000853
61,113.2590909090909,9,strings,0.056818181818186986
61,113.30227272727272,10,strings,0.013636363636365445
61,113.42954545454545,26,strings,0.10000000000000853
61,113.46136363636363,29,strings,0.06818181818182723
61,113.52499999999999,28,strings,0.004545454545464622
61,113.55681818181817,26,strings,0.004545454545464622
61,113.63181818181818,18,strings,0.025000000000005684
61,113.675,11,strings,0.056818181818172775
61,113.75,7,strings,0.024999999999991473
61,113.79090909090908,7,strings,0.05909090909091219
61,113.87727272727273,13,strings,0.013636363636365445
61,113.95227272727273,13,strings,0.024999999999991473
61,113.98409090909091,14,strings,0.06818181818181301
61,114.175,13,strings,0.09999999999999432
61,114.32499999999999,16,strings,0.10000000000000853
61,114.45227272727273,17,strings,0.09999999999999432
61,114.51818181818182,14,strings,0.03409090909090651
61,114.61363636363636,13,strings,0.004545454545450411
61,114.74090909090908,19,strings,0.09999999999999432
61,114.7840909090909,22,strings,0.056818181818172775
61,114.82727272727273,21,strings,0.013636363636351234
61,114.89090909090909,16,strings,0.03636363636363171
61,114.9340909090909,12,strings,0.056818181818186986
61,115.10454545454544,13,strings,0.10000000000000853
61,115.22045454545454,8,strings,0.09999999999999432
61,115.25227272727273,9,strings,0.06818181818181301
61,115.29545454545455,10,strings,0.024999999999991473
61,115.40227272727272,13,strings,0.10000000000000853
61,115.46590909090908,19,strings,0.036363636363645924
61,115.5090909090909,24,strings,0.056818181818186986
61,115.59545454545454,27,strings,0.013636363636365445
61,115.64772727272727,29,strings,0.04772727272727195
61,115.71136363636363,33,strings,0.03636363636363171
61,115.76590909090909,37,strings,0.045454545454546746
61,115.84090909090908,27,strings,0.025000000000005684
61,115.89318181818182,18,strings,0.04772727272727195
61,115.925,21,strings,0.01590909090909065
61,116.09545454545454,40,strings,0.09999999999999432
61,116.19090909090909,37,strings,0.004545454545450411
61,116.3090909090909,35,strings,0.10000000000000853
61,116.37272727272726,27,strings,0.036363636363645924
61,116.42727272727272,18,strings,0.045454545454546746
61,116.49090909090908,13,strings,0.03636363636363171
61,116.54318181818181,19,strings,0.04772727272727195
61,116.59772727272727,26,strings,0.045454545454546746
61,116.71363636363635,25,strings,0.10000000000000853
61,116.84318181818182,19,strings,0.09999999999999432
61,116.9590909090909,17,strings,0.09999999999999432
61,117.08863636363635,20,strings,0.10000000000000853
61,117.12954545454545,26,strings,0.05909090909091219
61,117.20454545454545,29,strings,0.024999999999991473
61,117.29090909090908,24,strings,0.013636363636365445
61,117.375,28,strings,0.01590909090909065
61,117.41818181818181,29,strings,0.056818181818186986
61,117.49318181818181,25,strings,0.025000000000005684
61,117.6,12,strings,0.09999999999999432
61,117.64318181818182,13,strings,0.056818181818172775
61,117.72727272727272,18,strings,0.01590909090909065
61,117.7590909090909,19,strings,0.06818181818182723
61,117.79090909090908,18,strings,0.036363636363645924
61,117.89772727272727,19,strings,0.09999999999999432
61,117.94090909090909,23,strings,0.056818181818172775
61,118.03636363636363,32,strings,0.004545454545450411
61,118.10227272727272,34,strings,0.03409090909090651
61,118.24090909090908,23,strings,0.09999999999999432
61,118.28181818181818,23,strings,0.05909090909089798
61,118.33636363636363,24,strings,0.004545454545450411
61,118.45227272727273,27,strings,0.09999999999999432
61,118.53863636363636,26,strings,0.013636363636365445
61,118.61363636363636,24,strings,0.024999999999991473
61,118.64545454545454,24,strings,0.06818181818181301
61,118.76363636363635,22,strings,0.10000000000000853
61,118.81590909090909,22,strings,0.04772727272727195
61,118.91136363636363,23,strings,0.004545454545450411
61,119.02954545454544,17,strings,0.10000000000000853
61,119.07272727272726,16,strings,0.056818181818186986
61,119.13636363636363,14,strings,0.036363636363645924
98,9.86590909090909,127,drums,0.09999999999999964
98,11.370454545454544,127,drums,0.10000000000000142
98,12.26590909090909,127,drums,0.09999999999999964
98,13.770454545454545,127,drums,0.09999999999999964
98,14.665909090909091,127,drums,0.09999999999999964
98,16.170454545454543,127,drums,0.10000000000000142
98,17.077272727272728,127,drums,0.09999999999999787
98,18.570454545454545,127,drums,0.09999999999999787
98,19.477272727272727,127,drums,0.10000000000000142
98,20.98181818181818,127,drums,0.10000000000000142
98,21.877272727272725,127,drums,0.10000000000000142
98,23.38181818181818,127,drums,0.10000000000000142
98,24.277272727272727,127,drums,0.09999999999999787
98,25.78181818181818,127,drums,0.09999999999999787
98,26.677272727272726,127,drums,0.10000000000000142
98,29.097727272727273,127,drums,0.09999999999999787
98,29.845454545454544,4,drums,0.10000000000000142
98,29.995454545454542,65,drums,0.10000000000000142
98,30.293181818181818,9,drums,0.09999999999999787
98,30.443181818181817,9,drums,0.10000000000000142
98,30.581818181818182,127,drums,0.09999999999999787
98,30.74090909090909,74,drums,0.10000000000000142
98,30.89090909090909,51,drums,0.09999999999999787
98,31.049999999999997,7,drums,0.10000000000000142
98,31.188636363636363,66,drums,0.09999999999999787
98,31.488636363636363,127,drums,0.09999999999999787
98,31.797727272727272,3,drums,0.09999999999999787
98,31.94772727272727,49,drums,0.10000000000000142
98,32.095454545454544,57,drums,0.10000000000000142
98,32.24545454545454,7,drums,0.10000000000000142
98,32.39545454545454,68,drums,0.10000000000000142
98,32.69318181818182,8,drums,0.09999999999999432
98,32.84318181818182,9,drums,0.10000000000000142
98,32.99090909090909,127,drums,0.09999999999999432
98,33.14090909090909,81,drums,0.10000000000000142
98,33.29090909090909,52,drums,0.10000000000000142
98,33.449999999999996,7,drums,0.10000000000000142
98,33.6,64,drums,0.09999999999999432
98,33.75,8,drums,0.10000000000000142
98,33.888636363636365,127,drums,0.09999999999999432
98,34.19772727272727,7,drums,0.10000000000000142
98,34.34772727272727,41,drums,0.10000000000000142
98,34.49545454545454,49,drums,0.10000000000000142
98,34.64545454545454,7,drums,0.10000000000000142
98,34.79545454545455,73,drums,0.09999999999999432
98,35.09318181818182,9,drums,0.09999999999999432
98,35.24318181818182,9,drums,0.10000000000000142
98,35.39090909090909,127,drums,0.10000000000000142
98,35.54090909090909,81,drums,0.10000000000000142
98,35.70227272727273,56,drums,0.09999999999999432
98,35.85,5,drums,0.09999999999999432
98,36.0,67,drums,0.10000000000000142
98,36.288636363636364,127,drums,0.09999999999999432
98,36.59772727272727,8,drums,0.10000000000000142
98,36.74772727272727,39,drums,0.10000000000000142
98,36.89545454545454,51,drums,0.10000000000000142
98,37.04545454545455,8,drums,0.09999999999999432
98,37.195454545454545,67,drums,0.10000000000000142
98,37.50454545454545,22,drums,0.10000000000000142
98,37.652272727272724,9,drums,0.10000000000000142
98,37.79090909090909,127,drums,0.10000000000000142
98,37.95227272727273,78,drums,0.09999999999999432
98,38.10227272727273,56,drums,0.10000000000000142
