pitch,velocity,duration,pos,boundary,bar,instrument,velocity_bucket,duration_bucket
55,100,0.3,333,1,8,DL_Guitar,-1,-1
55,100,0.17727272727272728,470,0,8,DL_Guitar,-1,-1
54,100,0.1,656,0,8,DL_Guitar,-1,-1
48,100,1.0,708,0,8,DL_Guitar,-1,-1
60,100,0.1409090909090909,65,1,9,DL_Guitar,-1,-1
60,100,0.2818181818181818,135,0,9,DL_Guitar,-1,-1
57,100,0.3409090909090909,211,0,9,DL_Guitar,-1,-1
43,100,0.6818181818181818,355,0,9,DL_Guitar,-1,-1
43,100,0.17727272727272728,589,1,9,DL_Guitar,-1,-1
50,100,0.18181818181818182,651,0,9,DL_Guitar,-1,-1
43,100,0.9772727272727273,778,0,9,DL_Guitar,-1,-1
50,100,0.1,391,1,10,DL_Guitar,-1,-1
50,100,0.1,417,0,10,DL_Guitar,-1,-1
50,100,0.1409090909090909,465,0,10,DL_Guitar,-1,-1
48,100,0.3,611,0,10,DL_Guitar,-1,-1
60,100,0.2,677,0,10,DL_Guitar,-1,-1
55,100,0.4818181818181818,818,0,10,DL_Guitar,-1,-1
50,100,0.6409090909090909,140,1,11,DL_Guitar,-1,-1
50,100,0.1590909090909091,295,0,11,DL_Guitar,-1,-1
54,100,0.2818181818181818,355,0,11,DL_Guitar,-1,-1
50,100,0.6409090909090909,426,0,11,DL_Guitar,-1,-1
50,100,0.4409090909090909,594,0,11,DL_Guitar,-1,-1
50,100,0.4636363636363636,708,0,11,DL_Guitar,-1,-1
47,100,0.4590909090909091,876,0,11,DL_Guitar,-1,-1
55,100,0.3,180,1,12,DL_Guitar,-1,-1
55,100,0.2,250,0,12,DL_Guitar,-1,-1
52,100,0.7181818181818181,360,0,12,DL_Guitar,-1,-1
55,100,0.2818181818181818,527,0,12,DL_Guitar,-1,-1
57,100,0.6,594,0,12,DL_Guitar,-1,-1
52,100,0.3,739,0,12,DL_Guitar,-1,-1
55,100,0.9409090909090909,804,0,12,DL_Guitar,-1,-1
52,100,0.3,140,1,13,DL_Guitar,-1,-1
55,100,1.2818181818181817,211,0,13,DL_Guitar,-1,-1
55,100,0.1409090909090909,505,1,13,DL_Guitar,-1,-1
50,100,0.41818181818181815,634,0,13,DL_Guitar,-1,-1
60,100,0.1590909090909091,783,0,13,DL_Guitar,-1,-1
50,100,0.38181818181818183,25,1,14,DL_Guitar,-1,-1
54,100,0.21818181818181817,175,0,14,DL_Guitar,-1,-1
50,100,0.18181818181818182,264,0,14,DL_Guitar,-1,-1
62,100,0.1,338,0,14,DL_Guitar,-1,-1
52,100,0.4409090909090909,448,0,14,DL_Guitar,-1,-1
52,100,0.3409090909090909,584,0,14,DL_Guitar,-1,-1
59,100,0.6,663,0,14,DL_Guitar,-1,-1
50,100,1.9,871,1,14,DL_Guitar,-1,-1
57,100,0.32272727272727275,409,1,15,DL_Guitar,-1,-1
59,100,0.3181818181818182,479,0,15,DL_Guitar,-1,-1
50,100,0.2,567,0,15,DL_Guitar,-1,-1
48,100,1.0227272727272727,694,0,15,DL_Guitar,-1,-1
48,100,0.2,92,1,16,DL_Guitar,-1,-1
48,100,0.13636363636363635,171,0,16,DL_Guitar,-1,-1
50,100,1.959090909090909,220,0,16,DL_Guitar,-1,-1
57,100,0.3,656,1,16,DL_Guitar,-1,-1
59,100,0.33636363636363636,721,0,16,DL_Guitar,-1,-1
50,100,0.5363636363636364,810,0,16,DL_Guitar,-1,-1
43,100,0.5818181818181818,57,1,17,DL_Guitar,-1,-1
55,100,0.1409090909090909,268,1,17,DL_Guitar,-1,-1
57,100,0.6,343,0,17,DL_Guitar,-1,-1
59,100,0.6,480,0,17,DL_Guitar,-1,-1
62,100,0.4,611,0,17,DL_Guitar,-1,-1
50,100,0.1590909090909091,700,0,17,DL_Guitar,-1,-1
62,100,0.1409090909090909,804,0,17,DL_Guitar,-1,-1
62,100,0.18181818181818182,870,0,17,DL_Guitar,-1,-1
55,100,0.1590909090909091,119,1,18,DL_Guitar,-1,-1
62,100,0.21818181818181817,237,0,18,DL_Guitar,-1,-1
55,100,0.3,356,0,18,DL_Guitar,-1,-1
55,100,0.8409090909090909,540,1,19,DL_Guitar,-1,-1
50,100,0.2,801,1,19,DL_Guitar,-1,-1
50,100,0.3181818181818182,9,1,20,DL_Guitar,-1,-1
50,100,0.1590909090909091,150,0,20,DL_Guitar,-1,-1
62,100,0.6636363636363637,223,0,20,DL_Guitar,-1,-1
57,100,0.2772727272727273,413,0,20,DL_Guitar,-1,-1
62,100,0.1409090909090909,474,0,20,DL_Guitar,-1,-1
50,100,0.8181818181818182,505,0,20,DL_Guitar,-1,-1
62,100,0.1409090909090909,686,0,20,DL_Guitar,-1,-1
55,100,0.3,725,0,20,DL_Guitar,-1,-1
52,100,0.5409090909090909,814,0,20,DL_Guitar,-1,-1
55,100,0.6409090909090909,57,1,21,DL_Guitar,-1,-1
55,100,0.18181818181818182,289,1,21,DL_Guitar,-1,-1
55,100,0.38181818181818183,333,0,21,DL_Guitar,-1,-1
55,100,0.1409090909090909,426,0,21,DL_Guitar,-1,-1
55,100,0.12272727272727273,466,0,21,DL_Guitar,-1,-1
54,100,0.11818181818181818,756,1,21,DL_Guitar,-1,-1
62,100,0.1,787,0,21,DL_Guitar,-1,-1
54,100,0.2590909090909091,810,0,21,DL_Guitar,-1,-1
55,100,0.3181818181818182,83,1,22,DL_Guitar,-1,-1
55,100,0.4,440,1,22,DL_Guitar,-1,-1
55,100,0.2818181818181818,642,1,22,DL_Guitar,-1,-1
50,100,0.6,712,0,22,DL_Guitar,-1,-1
62,100,0.1,21,1,23,DL_Guitar,-1,-1
50,100,0.740909090909091,44,0,23,DL_Guitar,-1,-1
62,100,0.1,237,0,23,DL_Guitar,-1,-1
50,100,0.2590909090909091,260,0,23,DL_Guitar,-1,-1
55,100,0.3409090909090909,330,0,23,DL_Guitar,-1,-1
64,100,0.5772727272727273,426,0,23,DL_Guitar,-1,-1
55,100,0.2409090909090909,752,1,23,DL_Guitar,-1,-1
52,100,0.5,814,0,23,DL_Guitar,-1,-1
50,100,0.6818181818181818,69,1,24,DL_Guitar,-1,-1
62,100,0.2,220,0,24,DL_Guitar,-1,-1
50,100,0.3181818181818182,281,0,24,DL_Guitar,-1,-1
50,100,0.7772727272727272,391,0,24,DL_Guitar,-1,-1
55,100,0.2772727272727273,567,0,24,DL_Guitar,-1,-1
55,100,0.3,642,0,24,DL_Guitar,-1,-1
50,100,0.11818181818181818,770,0,24,DL_Guitar,-1,-1
62,100,0.5227272727272727,796,0,24,DL_Guitar,-1,-1
55,100,0.6,44,1,25,DL_Guitar,-1,-1
62,100,0.32272727272727275,179,0,25,DL_Guitar,-1,-1
50,100,0.1409090909090909,250,0,25,DL_Guitar,-1,-1
50,100,1.8363636363636364,326,0,25,DL_Guitar,-1,-1
50,100,0.6,739,1,25,DL_Guitar,-1,-1
64,100,0.2818181818181818,3,1,26,DL_Guitar,-1,-1
52,100,0.3181818181818182,75,0,26,DL_Guitar,-1,-1
55,100,0.5590909090909091,144,0,26,DL_Guitar,-1,-1
55,100,1.1,281,0,26,DL_Guitar,-1,-1
54,100,0.1,540,1,26,DL_Guitar,-1,-1
54,100,0.11818181818181818,602,0,26,DL_Guitar,-1,-1
54,100,0.6409090909090909,691,0,26,DL_Guitar,-1,-1
62,100,0.1409090909090909,862,0,26,DL_Guitar,-1,-1
62,100,0.43636363636363634,17,1,27,DL_Guitar,-1,-1
54,100,0.22272727272727272,113,0,27,DL_Guitar,-1,-1
55,100,0.41818181818181815,162,0,27,DL_Guitar,-1,-1
48,100,0.5,268,0,27,DL_Guitar,-1,-1
55,100,0.5181818181818182,413,0,27,DL_Guitar,-1,-1
55,100,0.11818181818181818,756,1,27,DL_Guitar,-1,-1
50,100,0.6,804,0,27,DL_Guitar,-1,-1
50,100,0.4590909090909091,65,1,28,DL_Guitar,-1,-1
62,100,0.12272727272727273,179,0,28,DL_Guitar,-1,-1
50,100,0.5772727272727273,206,0,28,DL_Guitar,-1,-1
50,100,0.3,351,0,28,DL_Guitar,-1,-1
55,100,1.4181818181818182,418,0,28,DL_Guitar,-1,-1
50,100,1.1590909090909092,30,1,29,DL_Guitar,-1,-1
62,100,0.1,285,1,29,DL_Guitar,-1,-1
55,100,0.6409090909090909,316,1,40,DL_Guitar,-1,-1
48,100,0.5,461,0,40,DL_Guitar,-1,-1
50,100,1.0818181818181818,606,0,40,DL_Guitar,-1,-1
50,100,0.12272727272727273,848,1,40,DL_Guitar,-1,-1
50,100,0.6818181818181818,0,1,41,DL_Guitar,-1,-1
62,100,0.5818181818181818,153,0,41,DL_Guitar,-1,-1
52,100,1.2,286,0,41,DL_Guitar,-1,-1
52,100,0.18181818181818182,619,1,41,DL_Guitar,-1,-1
52,100,0.4818181818181818,664,0,41,DL_Guitar,-1,-1
50,100,0.2590909090909091,778,0,41,DL_Guitar,-1,-1
47,100,0.1,43,1,42,DL_Guitar,-1,-1
47,100,0.1409090909090909,228,0,42,DL_Guitar,-1,-1
55,100,0.35909090909090907,343,1,43,DL_Guitar,-1,-1
55,100,0.5227272727272727,453,0,43,DL_Guitar,-1,-1
62,100,0.5409090909090909,641,0,43,DL_Guitar,-1,-1
50,100,1.3181818181818181,765,0,43,DL_Guitar,-1,-1
57,100,0.1409090909090909,251,1,44,DL_Guitar,-1,-1
50,100,0.37727272727272726,370,0,44,DL_Guitar,-1,-1
50,100,0.13636363636363635,523,0,44,DL_Guitar,-1,-1
59,100,0.12272727272727273,254,1,45,DL_Guitar,-1,-1
55,100,0.5181818181818182,303,0,45,DL_Guitar,-1,-1
62,100,0.2409090909090909,641,1,45,DL_Guitar,-1,-1
50,100,2.481818181818182,694,0,45,DL_Guitar,-1,-1
52,100,1.9181818181818182,383,1,46,DL_Guitar,-1,-1
62,100,0.1409090909090909,21,1,47,DL_Guitar,-1,-1
55,100,0.17727272727272728,348,1,47,DL_Guitar,-1,-1
55,100,1.018181818181818,391,0,47,DL_Guitar,-1,-1
48,100,0.1,716,1,47,DL_Guitar,-1,-1
60,100,0.1590909090909091,813,0,47,DL_Guitar,-1,-1
48,100,0.6227272727272727,26,1,48,DL_Guitar,-1,-1
62,100,0.23636363636363636,238,1,48,DL_Guitar,-1,-1
50,100,2.6,298,0,48,DL_Guitar,-1,-1
62,100,0.4,871,1,48,DL_Guitar,-1,-1
62,100,1.6,101,1,49,DL_Guitar,-1,-1
43,100,0.4590909090909091,550,1,49,DL_Guitar,-1,-1
43,100,0.11818181818181818,700,0,49,DL_Guitar,-1,-1
43,100,0.2,748,0,49,DL_Guitar,-1,-1
62,100,0.18181818181818182,791,0,49,DL_Guitar,-1,-1
43,100,0.21818181818181817,831,0,49,DL_Guitar,-1,-1
62,100,1.040909090909091,0,1,50,DL_Guitar,-1,-1
62,100,0.1,43,1,77,DL_Guitar,-1,-1
43,100,0.38181818181818183,66,0,77,DL_Guitar,-1,-1
62,100,0.35909090909090907,150,0,77,DL_Guitar,-1,-1
43,100,0.4590909090909091,237,0,77,DL_Guitar,-1,-1
55,100,0.11818181818181818,360,0,77,DL_Guitar,-1,-1
55,100,0.17727272727272728,392,0,77,DL_Guitar,-1,-1
62,100,0.3409090909090909,690,1,77,DL_Guitar,-1,-1
62,100,0.32272727272727275,69,1,78,DL_Guitar,-1,-1
62,100,0.16363636363636364,422,1,78,DL_Guitar,-1,-1
55,100,0.4590909090909091,475,0,78,DL_Guitar,-1,-1
55,100,0.5227272727272727,597,0,78,DL_Guitar,-1,-1
55,100,0.1590909090909091,22,1,79,DL_Guitar,-1,-1
52,100,0.13636363636363635,62,0,79,DL_Guitar,-1,-1
55,100,0.759090909090909,110,0,79,DL_Guitar,-1,-1
55,100,0.5,286,0,79,DL_Guitar,-1,-1
55,100,0.2772727272727273,480,0,79,DL_Guitar,-1,-1
43,100,0.740909090909091,559,0,79,DL_Guitar,-1,-1
43,100,0.18181818181818182,739,0,79,DL_Guitar,-1,-1
