pitch,velocity,duration,pos,boundary,bar,instrument,song_id,velocity_bucket,duration_bucket
55,100,0.2772727272727273,567,1,24,DL_Guitar,ninjyou,6,4
55,100,0.3,642,0,24,DL_Guitar,ninjyou,6,5
62,100,0.5227272727272727,796,1,24,DL_Guitar,ninjyou,6,8
55,100,0.6,44,1,25,DL_Guitar,ninjyou,6,10
62,100,0.32272727272727275,179,1,25,DL_Guitar,ninjyou,6,5
64,100,0.2818181818181818,3,1,26,DL_Guitar,ninjyou,6,5
52,100,0.3181818181818182,75,0,26,DL_Guitar,ninjyou,6,5
55,100,0.5590909090909091,144,0,26,DL_Guitar,ninjyou,6,9
55,100,1.1,281,1,26,DL_Guitar,ninjyou,6,15
54,100,0.1,540,1,26,DL_Guitar,ninjyou,6,2
54,100,0.11818181818181818,602,0,26,DL_Guitar,ninjyou,6,2
54,100,0.6409090909090909,691,0,26,DL_Guitar,ninjyou,6,10
62,100,0.1409090909090909,862,1,26,DL_Guitar,ninjyou,6,2
62,100,0.43636363636363634,17,1,27,DL_Guitar,ninjyou,6,7
54,100,0.22272727272727272,113,0,27,DL_Guitar,ninjyou,6,4
55,100,0.41818181818181815,162,0,27,DL_Guitar,ninjyou,6,7
55,100,0.5181818181818182,413,1,27,DL_Guitar,ninjyou,6,8
55,100,0.11818181818181818,756,1,27,DL_Guitar,ninjyou,6,2
62,100,0.12272727272727273,179,1,28,DL_Guitar,ninjyou,6,2
55,100,1.4181818181818182,418,1,28,DL_Guitar,ninjyou,6,15
62,100,0.1,285,1,29,DL_Guitar,ninjyou,6,2
69,100,0.42272727272727273,532,1,29,DL_Guitar,ninjyou,6,7
69,100,0.2590909090909091,633,0,29,DL_Guitar,ninjyou,6,4
67,100,1.2181818181818183,66,1,39,DL_Guitar,ninjyou,6,15
67,100,0.3,356,1,39,DL_Guitar,ninjyou,6,5
67,100,0.7363636363636363,480,1,39,DL_Guitar,ninjyou,6,12
67,100,0.8,678,1,39,DL_Guitar,ninjyou,6,13
67,100,0.18181818181818182,858,1,39,DL_Guitar,ninjyou,6,3
55,100,0.6409090909090909,316,1,40,DL_Guitar,ninjyou,6,10
62,100,0.5818181818181818,153,1,41,DL_Guitar,ninjyou,6,9
52,100,1.2,286,1,41,DL_Guitar,ninjyou,6,15
52,100,0.18181818181818182,619,1,41,DL_Guitar,ninjyou,6,3
52,100,0.4818181818181818,664,0,41,DL_Guitar,ninjyou,6,8
55,100,0.35909090909090907,343,1,43,DL_Guitar,ninjyou,6,6
